GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,sv.unicomer.backendsolution.util,MessageConstants,3,0,0,0,1,0,1,0,1,0
,sv.unicomer.backendsolution.controller,TipoTransaccionController,16,6,0,0,4,3,2,1,2,1
,sv.unicomer.backendsolution.controller,TransaccionController,21,6,0,0,7,3,2,1,2,1
,sv.unicomer.backendsolution,BackendsolutionApplication,5,3,0,0,2,1,1,1,1,1
,sv.unicomer.backendsolution.service,TransaccionService,62,84,4,4,15,24,5,4,1,4
,sv.unicomer.backendsolution.service,TipoTransaccionService,9,64,0,2,2,14,2,3,2,2
,sv.unicomer.backendsolution.entity,Transaccion,28,31,0,0,8,2,9,8,9,8
,sv.unicomer.backendsolution.entity,TipoTransaccion,14,9,0,0,3,4,4,2,4,2
,sv.unicomer.backendsolution.exceptions,CustomException,9,0,0,0,4,0,2,0,2,0
,sv.unicomer.backendsolution.dto,TransaccionInDTO,4,34,0,0,0,7,1,10,1,10
